#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
2.025	30.22	0.0019173370170746788
2.075	31.12	0.002117038028272102
2.125	31.99	0.0023330952481749163
2.175	32.83	0.0025664312389814628
2.225	33.66	0.002817981380124132
2.275	34.45	0.003088690133415005
2.325	35.22	0.0033795070365054895
2.375	35.95	0.0036913824573965837
2.425	36.66	0.004025263148835985
2.475	37.33	0.0043820876471180135
2.525	37.98	0.004762781564874674
2.575	38.58	0.005168252831728084
2.625	39.16	0.00559938693999759
2.675	39.69	0.0060570422548718765
2.725	40.19	0.0065420454494488
2.775	40.66	0.007055187124730796
2.825	41.09	0.007597217673000267
2.875	41.48	0.008168843439989717
2.925	41.83	0.008770723236955099
2.975	42.15	0.009403465248252463
3.025	42.43	0.010067624373445593
3.075	42.68	0.010763700035510025
3.125	42.89	0.011492134478555675
3.175	43.06	0.012253311569893784
3.225	43.2	0.013047556112466054
3.275	43.31	0.013875133664884185
3.325	43.38	0.01473625085783027
3.375	43.42	0.015631056187571934
3.425	43.43	0.01655964126004442
3.475	43.41	0.01752204245251603
3.525	43.37	0.018518242954413726
3.575	43.29	0.019548175144533903
3.625	43.19	0.02061172325865178
3.675	43.07	0.021708726299483786
3.725	42.92	0.02283898114002289
3.775	42.75	0.02400224577140216
3.825	42.56	0.025198242647557212
3.875	42.35	0.02642666208094641
3.925	42.12	0.027687165646320084
3.975	41.88	0.0289793895528756
4.025	41.62	0.030302947948950745
4.075	41.34	0.03165743612755473
4.125	41.06	0.033042433605383975
4.175	40.76	0.03445750705239288
4.225	40.45	0.03590221305337976
4.275	40.13	0.03737610068730767
4.325	39.81	0.03887871391412604
4.375	39.48	0.040409593762638786
4.425	39.14	0.0419682803164112
4.475	38.79	0.0435543144978069
4.525	38.44	0.045167239652968205
4.575	38.09	0.04680660294289119
4.625	37.74	0.04847195654770855
4.675	37.38	0.05016285869288927
4.725	37.02	0.05187887450731093
4.775	36.66	0.053619576724091456
4.825	36.3	0.055384546235693645
4.875	35.94	0.05717337251519385
4.925	35.58	0.0589856539157396
4.975	35.23	0.060820997860164386
5.025	34.87	0.06267902093249995
5.075	34.52	0.06455934888275636
5.125	34.17	0.06646161655586869
5.175	33.82	0.06838546775514003
5.225	33.48	0.07033055504988663
5.275	33.14	0.07229653953632306
5.325	32.8	0.07428309056003166
5.375	32.46	0.07628988540765337
5.425	32.13	0.07831660897474207
5.475	31.81	0.08036295341603097
5.525	31.49	0.08242861778369878
5.575	31.17	0.08451330765858422
5.625	30.85	0.0866167347786901
5.675	30.55	0.08873861666875615
5.725	30.24	0.09087867627414879
5.775	29.94	0.09303664160182362
5.825	29.65	0.09521224537067437
5.875	29.35	0.09740522467317152
5.925	29.07	0.09961532064982377
5.975	28.79	0.10184227817766209
6.025	28.51	0.10408584557366012
6.075	28.24	0.10634577431372855
6.125	27.97	0.10862181876770417
6.175	27.7	0.11091373595054689
6.225	27.44	0.11322128528978506
6.275	27.19	0.11554422840910664
6.325	26.94	0.11788232892785942
6.375	26.69	0.12023535227612606
6.425	26.45	0.1226030655249514
6.475	26.21	0.1249852372312257
6.525	25.97	0.12738163729667693
6.575	25.74	0.12979203684038226
6.625	25.51	0.13221620808417353
6.675	25.29	0.1346539242502991
6.725	25.07	0.13710495947068221
6.775	24.85	0.13956908870712148
6.825	24.64	0.14204608768176982
6.875	24.43	0.1445357328172465
6.925	24.23	0.1470378011857393
6.975	24.03	0.1495520704664717
7.025	23.83	0.15207831891093132
7.075	23.63	0.15461632531526906
7.125	23.44	0.15716586899931084
7.175	23.25	0.15972672979163435
7.225	23.06	0.16229868802019967
7.275	22.88	0.1648815245080428
7.325	22.7	0.16747502057356187
7.375	22.52	0.17007895803496062
7.425	22.35	0.17269311921843206
7.475	22.18	0.17531728696969237
7.525	22.01	0.17795124466849752
7.575	21.84	0.18059477624580245
7.625	21.68	0.18324766620324215
7.675	21.52	0.1859096996346373
7.725	21.36	0.1885806622492507
7.775	21.2	0.19126034039653297
7.825	21.05	0.19394852109212757
7.875	20.9	0.19664499204491342
7.925	20.75	0.1993495416848879
7.975	20.6	0.20206195919170242
8.025	20.45	0.20478203452368307
8.075	20.31	0.20750955844718907
8.125	20.17	0.2102443225661602
8.175	20.03	0.21298611935173278
8.225	19.89	0.21573474217180658
8.275	19.76	0.21848998532046537
8.325	19.62	0.22125164404714517
8.375	19.49	0.2240195145854869
8.425	19.36	0.22679339418177946
8.475	19.23	0.2295730811229419
8.525	19.11	0.23235837476398424
8.575	18.98	0.23514907555488967
8.625	18.86	0.23794498506688558
8.675	18.74	0.24074590601805773
8.725	18.62	0.2435516422982768
8.775	18.5	0.24636199899341402
8.825	18.39	0.24917678240882093
8.875	18.27	0.25199580009205413
8.925	18.16	0.25481886085483735
8.975	18.05	0.2576457747942404
9.025	17.94	0.2604763533130766
9.075	17.83	0.26331040913951276
9.125	17.72	0.26614775634588345
9.175	17.61	0.26898821036671827
9.225	17.51	0.2718315880159812
9.275	17.4	0.27467770750352777
9.325	17.3	0.2775263884507828
9.375	17.2	0.28037745190564994
9.425	17.1	0.2832307203566652
9.475	17.0	0.2860860177463923
9.525	16.9	0.28894316948408766
9.575	16.81	0.29180200245763216
9.625	16.71	0.2946623450447519
9.675	16.62	0.29752402712353787
9.725	16.52	0.3003868800822729
9.775	16.43	0.30325073682859643
9.825	16.34	0.3061154317979981
9.875	16.25	0.30898080096167824
9.925	16.16	0.31184668183376946
9.975	16.07	0.3147129134779549
10.025	15.98	0.31757933651348175
10.075	15.9	0.3204457931205865
10.125	15.81	0.3233121270453644
10.175	15.73	0.3261781836040779
10.225	15.64	0.3290438096869224
10.275	15.56	0.33190885376127927
10.325	15.48	0.3347731658744543
10.375	15.4	0.3376365976559206
10.425	15.32	0.34049900231908525
10.475	15.24	0.34336023466258864
10.525	15.16	0.3462201510711526
10.575	15.08	0.34907860951599096
10.625	15.01	0.35193546955479227
10.675	14.93	0.3547905923312974
10.725	14.86	0.35764384057447346
10.775	14.78	0.36049507859730157
10.825	14.71	0.3633441722951938
10.875	14.64	0.36619098914405174
10.925	14.56	0.3690353981979629
10.975	14.49	0.37187727008657634
11.025	14.42	0.37471647701213806
11.075	14.35	0.377552892746216
11.125	14.28	0.38038639262611906
11.175	14.22	0.38321685355102364
11.225	14.15	0.3860441539778122
11.275	14.08	0.3888681739166373
11.325	14.01	0.39168879492622494
11.375	13.95	0.39450590010892234
11.425	13.88	0.39731937410549184
11.475	13.82	0.4001291030896753
11.525	13.75	0.4029349747625296
11.575	13.69	0.40573687834653527
11.625	13.63	0.4085347045795049
11.675	13.56	0.4113283457082687
11.725	13.5	0.41411769548219146
11.775	13.44	0.4169026491464717
11.825	13.38	0.4196831034352801
11.875	13.32	0.4224589565647153
11.925	13.26	0.42523010822559315
11.975	13.2	0.4279964595760789
12.025	13.14	0.4307579132341615
12.075	13.09	0.43351437326998243
12.125	13.03	0.43626574519802674
12.175	12.97	0.4390119359691725
12.225	12.92	0.4417528539626134
12.275	12.86	0.4444884089776599
12.325	12.8	0.44721851222542325
12.375	12.75	0.4499430763203828
12.425	12.69	0.4526620152718499
12.475	12.64	0.4553752444753239
12.525	12.59	0.45808268070375907
12.575	12.53	0.4607842420987307
12.625	12.48	0.4634798481615245
12.675	12.43	0.46616941974412834
12.725	12.38	0.4688528790401563
12.775	12.33	0.4715301495756952
12.825	12.28	0.47420115620007924
12.875	12.22	0.4768658250766008
12.925	12.17	0.4795240836731538
12.975	12.12	0.48217586075283037
13.025	12.08	0.48482108636444937
13.075	12.03	0.48745969183303867
13.125	11.98	0.49009160975027743
13.175	11.93	0.49271677396487995
13.225	11.88	0.4953351195729526
13.275	11.84	0.4979465829083068
13.325	11.79	0.5005511015327304
13.375	11.74	0.5031486142262517
13.425	11.7	0.5057390609773389
13.475	11.65	0.5083223829731135
13.525	11.6	0.5108985225895055
13.575	11.56	0.5134674233814226
13.625	11.52	0.5160290300728665
13.675	11.47	0.5185832885470679
13.725	11.43	0.5211301458365845
13.775	11.38	0.5236695501134079
13.825	11.34	0.5262014506790468
13.875	11.3	0.5287257979546192
13.925	11.25	0.5312425434709327
13.975	11.21	0.5337516398585697
14.025	11.17	0.5362530408379665
14.075	11.13	0.5387467012095095
14.125	11.09	0.5412325768436265
14.175	11.05	0.54371062467088
14.225	11.0	0.546180802672092
14.275	10.96	0.5486430698684508
14.325	10.92	0.5510973863116563
14.375	10.88	0.5535437130740706
14.425	10.84	0.5559820122388736
14.475	10.81	0.5584122468902568
14.525	10.77	0.5608343811036226
14.575	10.73	0.5632483799358114
14.625	10.69	0.5656542094153477
14.675	10.65	0.5680518365327059
14.725	10.61	0.5704412292306205
14.775	10.58	0.5728223563943907
14.825	10.54	0.5751951878422483
14.875	10.5	0.5775596943157333
14.925	10.46	0.5799158474700957
14.975	10.43	0.5822636198647544
15.025	10.39	0.5846029849537565
15.075	10.35	0.5869339170762985
15.125	10.32	0.5892563914472644
15.175	10.28	0.5915703841478078
15.225	10.25	0.5938758721159707
15.275	10.21	0.5961728331373337
15.325	10.18	0.5984612458357172
15.375	10.14	0.6007410896639098
15.425	10.11	0.6030123448944442
15.475	10.08	0.6052749926104145
15.525	10.04	0.6075290146963307
15.575	10.01	0.6097743938290253
15.625	9.97	0.6120111134685949
15.675	9.94	0.6142391578493861
15.725	9.91	0.6164585119710437
15.775	9.87	0.6186691615895724
15.825	9.84	0.6208710932084796
15.875	9.81	0.6230642940699408
15.925	9.78	0.6252487521460235
15.975	9.75	0.6274244561299589
16.025	9.71	0.6295913954274611
16.075	9.68	0.6317495601480878
16.125	9.65	0.6338989410966707
16.175	9.62	0.6360395297647737
16.225	9.59	0.6381713183222139
16.275	9.56	0.6402942996086342
16.325	9.53	0.6424084671251238
16.375	9.5	0.6445138150258896
16.425	9.47	0.6466103381099808
16.475	9.44	0.6486980318130771
16.525	9.41	0.6507768921993026
16.575	9.38	0.6528469159531268
16.625	9.35	0.6549081003712905
16.675	9.32	0.6569604433548065
16.725	9.29	0.6590039434009995
16.775	9.26	0.6610385995956117
16.825	9.23	0.6630644116049483
16.875	9.21	0.6650813796680924
16.925	9.18	0.6670895045891762
16.975	9.15	0.6690887877296889
17.025	9.12	0.6710792310008548
17.075	9.09	0.6730608368560648
17.125	9.07	0.6750336082833625
17.175	9.04	0.676997548797987
17.225	9.01	0.6789526624349577
17.275	8.98	0.6808989537417456
17.325	8.96	0.6828364277709706
17.375	8.93	0.6847650900731638
