#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
2.025	103.06	0.001849962899485639
2.075	101.99	0.0020638743145675394
2.125	100.83	0.0022962172239967818
2.175	99.57	0.0025478886292994935
2.225	98.23	0.002819766691352332
2.275	96.83	0.00311270595878733
2.325	95.36	0.0034275329027690497
2.375	93.85	0.0037650418220457915
2.425	92.3	0.004125991172180029
2.475	90.72	0.00451110036169078
2.525	89.12	0.004921047045942276
2.575	87.51	0.005356464937448556
2.625	85.88	0.005817942139273132
2.675	84.25	0.0063060199967934225
2.725	82.63	0.006821192452617447
2.775	81.02	0.007363905880169867
2.825	79.42	0.007934559363608849
2.875	77.83	0.008533505385424163
2.925	76.27	0.009161050878352712
2.975	74.73	0.009817458595114436
3.025	73.22	0.010502948747841695
3.075	71.73	0.011217700868827367
3.125	70.27	0.011961855845187079
3.175	68.85	0.012735518082037258
3.225	67.46	0.013538757751635468
3.275	66.1	0.014371613089415735
3.325	64.77	0.01523409270178506
3.375	63.48	0.016126177854755976
3.425	62.22	0.017047824716808557
3.475	61.0	0.017998966533674304
3.525	59.81	0.018979515716892853
3.575	58.65	0.019989365831930117
3.625	57.53	0.021028393475287403
3.675	56.44	0.022096460033335624
3.725	55.38	0.02319341331854908
3.775	54.35	0.02431908908137399
3.825	53.36	0.02547331239815715
3.875	52.39	0.02665589893738367
3.925	51.46	0.027866656107960883
3.975	50.55	0.02910538409445234
4.025	49.67	0.030371876785052487
4.075	48.82	0.03166592259872372
4.125	47.99	0.0329873052183258
4.175	47.19	0.03433580423679122
4.225	46.41	0.03571119572345828
4.275	45.65	0.037113252717606744
4.325	44.92	0.038541745656063345
4.375	44.21	0.039996442741489224
4.425	43.52	0.0414771102576426
4.475	42.85	0.04298351283754451
4.525	42.21	0.04451541369008879
4.575	41.58	0.04607257479022396
4.625	40.96	0.04765475703742676
4.675	40.37	0.0492617203867732
4.725	39.79	0.050893223956512586
4.775	39.23	0.052549026115666884
4.825	38.68	0.054228884554804443
4.875	38.15	0.05593255634279783
4.925	37.64	0.0576597979720433
4.975	37.13	0.05941036539432984
5.025	36.64	0.06118401404925896
5.075	36.17	0.0629804988868731
5.125	35.7	0.06479957438591728
5.175	35.25	0.06664099456895274
5.225	34.81	0.06850451301535644
5.275	34.38	0.0703898828730759
5.325	33.97	0.07229685686985904
5.375	33.56	0.07422518732455298
5.425	33.16	0.07617462615894846
5.475	32.77	0.07814492491054884
5.525	32.39	0.08013583474655837
5.575	32.02	0.08214710647930347
5.625	31.66	0.08417849058324602
5.675	31.31	0.08622973721368722
5.725	30.97	0.08830059622721252
5.775	30.63	0.09039081720390177
5.825	30.3	0.09250014947127894
5.875	29.98	0.09462834212996747
5.925	29.66	0.09677514408098563
5.975	29.35	0.09894030405460108
6.025	29.05	0.10112357064065639
6.075	28.76	0.10332469232026122
6.125	28.47	0.10554341749874385
6.175	28.19	0.10777949453975273
6.225	27.91	0.11003267180038716
6.275	27.64	0.1123026976672492
6.325	27.37	0.11458932059329656
6.375	27.11	0.11689228913538685
6.425	26.86	0.11921135199240268
6.475	26.6	0.12154625804385051
6.525	26.36	0.1238967563888317
6.575	26.12	0.12626259638528764
6.625	25.88	0.12864352768942433
6.675	25.65	0.13103930029523247
6.725	25.42	0.13344966457401425
6.775	25.2	0.13587437131384178
6.825	24.98	0.138313171758876
6.875	24.76	0.14076581764847448
6.925	24.55	0.14323206125602703
6.975	24.34	0.14571165542746234
7.025	24.14	0.1482043536193681
7.075	23.94	0.150709909936681
7.125	23.74	0.1532280791698979
7.175	23.55	0.1557586168317682
7.225	23.36	0.15830127919343298
7.275	23.17	0.1608558233199745
7.325	22.98	0.16342200710535032
7.375	22.8	0.1659995893066833
7.425	22.62	0.16858832957788455
7.475	22.45	0.17118798850259012
