#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
2.025	58.29	0.0012412114924775276
2.075	58.34	0.0013199059286823982
2.125	58.35	0.0014025091399563342
2.175	58.33	0.0014891838178330253
2.225	58.29	0.0015800960529059674
2.275	58.22	0.0016754152040242452
2.325	58.12	0.001775313750925728
2.375	58.01	0.0018799671297330992
2.425	57.87	0.001989553550920807
2.475	57.71	0.0021042537995339754
2.525	57.53	0.002224251017607621
2.575	57.34	0.0023497304688985038
2.625	57.13	0.0024808792862041976
2.675	56.9	0.0026178862017056156
2.725	56.66	0.002760941260930463
2.775	56.4	0.002910235521095712
2.825	56.13	0.0030659607347469876
2.875	55.85	0.0032283090197701685
2.925	55.56	0.0033974725170051543
2.975	55.25	0.0035736430368414687
3.025	54.94	0.0037570116963190495
3.075	54.61	0.00394776854839346
3.125	54.28	0.004146102205150488
3.175	53.93	0.004352199456870053
3.225	53.58	0.004566244888940114
3.275	53.22	0.004788420498707495
3.325	52.85	0.005018905314421825
3.375	52.48	0.005257875018479696
3.425	52.1	0.005505501577207637
3.475	51.72	0.005761952879432927
3.525	51.32	0.006027392386080626
3.575	50.93	0.006301978793001817
3.625	50.53	0.006585865709182756
3.675	50.12	0.006879201352406569
3.725	49.72	0.007182128264339675
3.775	49.3	0.007494783046893443
3.825	48.89	0.007817296121571176
3.875	48.47	0.008149791513349854
3.925	48.05	0.008492386660469666
3.975	47.63	0.008845192251311824
4.025	47.21	0.009208312089340757
4.075	46.79	0.009581842986871017
4.125	46.37	0.009965874688196652
4.175	45.94	0.01036048982239271
4.225	45.52	0.010765763885867655
4.275	45.1	0.011181765254517162
4.325	44.67	0.011608555225101834
4.375	44.25	0.01204618808525305
4.425	43.83	0.012494711211298446
4.475	43.41	0.01295416519289929
4.525	43.0	0.013424583983305049
4.575	42.58	0.01390599507385866
4.625	42.17	0.014398419691232707
4.675	41.76	0.01490187301573992
4.725	41.35	0.015416364418945422
4.775	40.94	0.015941897718713117
4.825	40.54	0.01647847144974182
4.875	40.15	0.017026079147594256
4.925	39.75	0.01758470964418717
4.975	39.36	0.01815434737269883
5.025	38.97	0.018734972679855282
5.075	38.59	0.019326562143582728
5.125	38.21	0.019929088894055685
5.175	37.84	0.020542522936227676
5.225	37.47	0.02116683147200609
5.275	37.1	0.021801979220317482
5.325	36.74	0.022447928733406817
5.375	36.39	0.02310464070782113
5.425	36.04	0.023772074288642638
5.475	35.69	0.024450187365655896
5.525	35.35	0.02513893686025915
5.575	35.01	0.025838279002057256
5.625	34.68	0.026548169594201497
5.675	34.35	0.027268564266670917
5.725	34.03	0.027999418716815327
5.775	33.72	0.02874068893660465
5.825	33.4	0.029492331426149036
