#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
2.025	116.77	0.0018568532344035273
2.075	114.29	0.0020693103817983304
2.125	111.84	0.002300158816877894
2.175	109.41	0.002550325443216342
2.225	107.02	0.0028207201329438236
2.275	104.67	0.003112230344943376
2.325	102.35	0.003425716013608342
2.375	100.07	0.003762004792143429
2.425	97.84	0.004121887724711192
2.475	95.64	0.004506115409958189
2.525	93.49	0.004915394705111869
2.575	91.38	0.005350386005488916
2.625	89.32	0.0058117011194877164
2.675	87.31	0.0062999017445313325
2.725	85.34	0.006815498535517458
2.775	83.42	0.0073589507445862515
2.825	81.54	0.007930666399812356
2.875	79.71	0.008531002981042307
2.925	77.94	0.00916026854370402
2.975	76.2	0.009818723236077792
3.025	74.52	0.01050658115221436
3.075	72.88	0.011224012461301593
3.125	71.29	0.011971145754645154
3.175	69.75	0.01274807055331354
3.225	68.25	0.013554839922649168
3.275	66.8	0.01439147314399624
3.325	65.39	0.015257958398872739
3.375	64.03	0.016154255426161328
3.425	62.7	0.01708029811848233
3.475	61.42	0.018035997029528215
3.525	60.18	0.01902124176962132
3.575	58.98	0.020035903271956187
3.625	57.81	0.021079835916809224
3.675	56.69	0.022152879505361732
3.725	55.6	0.023254861078647663
3.775	54.54	0.02438559658048426
3.825	53.52	0.02554489236606969
3.875	52.53	0.026732546560261545
3.925	51.57	0.02794835027140102
3.975	50.65	0.029192088667974025
4.025	49.75	0.03046354192643227
4.075	48.88	0.0317624860591848
4.125	48.04	0.033088693632171214
4.175	47.23	0.03444193438156833
4.225	46.44	0.035821975739125836
4.275	45.68	0.0372285832754007
4.325	44.94	0.03866152106980566
4.375	44.22	0.04012055201594052
4.425	43.52	0.041605438070154155
4.475	42.85	0.043115940450725275
4.525	42.2	0.044651819794465794
4.575	41.56	0.046212836276953585
4.625	40.94	0.047798749702019395
4.675	40.35	0.049409319565538345
4.725	39.77	0.05104430509802913
4.775	39.2	0.05270346529005014
4.825	38.65	0.05438655890389312
4.875	38.12	0.056093344474626994
4.925	37.6	0.05782358030313792
4.975	37.1	0.059577024443426205
5.025	36.61	0.061353434686092403
5.075	36.13	0.06315256853963037
5.125	35.67	0.06497418321088196
5.175	35.22	0.0668180355857599
5.225	34.78	0.06868388221113925
5.275	34.35	0.07057147927863087
5.325	33.93	0.07248058261078709
5.375	33.52	0.07441094765015616
5.425	33.12	0.07636232945147867
5.475	32.73	0.07833448267722168
5.525	32.36	0.0803271615965585
5.575	31.99	0.08234012008783387
5.625	31.63	0.08437311164449536
5.675	31.27	0.08642588938442257
5.725	30.93	0.08849820606254935
5.775	30.59	0.09058981408664472
5.825	30.26	0.09270046553609324
5.875	29.94	0.0948299121835024
5.925	29.63	0.09697790551894776
5.975	29.32	0.09914419677666535
6.025	29.02	0.10132853696399194
6.075	28.72	0.10353067689235522
6.125	28.44	0.10575036721011767
6.175	28.15	0.10798735843708229
6.225	27.88	0.11024140100047093
6.275	27.61	0.11251224527219324
6.325	27.34	0.11479964160723569
6.375	27.08	0.11710334038300203
6.425	26.83	0.11942309203944801
6.475	26.58	0.1217586471198606
6.525	26.33	0.1241097563121469
6.575	26.09	0.12647617049049345
6.625	25.85	0.12885764075728273
6.675	25.62	0.13125391848514512
6.725	25.4	0.13366475535904782
6.775	25.17	0.13608990341831914
6.825	24.95	0.13852911509852112
6.875	24.74	0.14098214327308783
6.925	24.53	0.14344874129465685
6.975	24.32	0.14592866303602006
7.025	24.12	0.1484216629306407
7.075	23.92	0.15092749601267577
7.125	23.72	0.15344591795645154
7.175	23.53	0.15597668511535664
7.225	23.33	0.1585195545601033
